용어,설명,태그
디지털 라이트의 분류,"디렉셔널 라이트, 포인트 라이트, 스팟 라이트",조명
Ambient,주변광,조명
Sobel Outline,"Depth(뎁스) 기반 아웃 라인, Depth Normal을 둘다 쓰기도 한다.",아웃라인
Height Map (Parallax Mapping),"범용적으로 사용되는 용어로, 높이를 저장하고 있는 그레이 스케일의 텍스쳐를 통칭한다.",텍스쳐 옵션
Parallax Mapping (시차 맵핑),시야각에 따라 UV를 이동시켜 깊이감을 흉내내는 기법을 의미한다.,텍스쳐 옵션
Fresnel (프레넬),"각 재질마다의 기울기별 반사율을 나타내는 공식 (N dot V, N: Normal Vector, View Vector)",반사 공식
스페큘러(Specular),"물체 표면에서의 반사광, 광선이 물체 표면에 닿아 반짝이는 하이라이트",반사 공식
퐁(Phong) 공식,조명에 의한 스페큘러를 수학적으로 표현하는 공식 (V dot R),반사 공식
블린-퐁(Blinn-Phong) 공식,"퐁 공식을 간략화한 공식 (N dot H, N: Normal Vector, H: Half Vector)",반사 공식
Reflect Vector 공식,R = P + 2N(-P · N),"반사 공식, 수학 연산"
고속 역 제곱근,매직 넘버,수학 연산
거스너 웨이브 (Gerstner Wave),"물결을 표현하는 경우 주로 사용되는 Sine 그래프를 응용한 방식, X 좌표를 Cos값으로 이동시켜 뾰족함을 추가함",수학 연산
Perspective Remove(야메),Nilo Shader의 작업물을 야메로 직접 실험한 추론한 내용.,
Depth buffer,"View를 기준으로 Scene에 있는 모든 오브젝트의 Z값으로 더 가까울수록 줄어듭니다. (0.0 ~ 1.0) ",
Fraction 노드,정수부를 버리고 0~0.999와 같은 소수점만을 반환합니다.,쉐이더 그래프 노드
Saturation (채도),채도를 조절할 수 있다,쉐이더 그래프 노드
Sobel Operator (소벨 검출),3x3 크기의 행렬을 사용하여 중심을 기준으로 각 방향의 변화량을 검출하는 알고리즘,수학 연산
